work_order_id,aircraft_id,primary_part_id,lead_technician_id,wo_type,status,open_date,close_date,planned_duration_days,actual_duration_days,delay_days,delay_reason,labour_hours,labour_cost_inr,parts_cost_inr,overhead_cost_inr,defect_code,ata_chapter,findings_summary,nrc_raised
WO000001,AC026,PT0020,TEC026,Unscheduled AOG,Closed,2024-04-21,2024-04-25,3,4,1.0,No Delay,43.5,133859.33,869276.64,140737.36,DFT-15BH,76,Tough go for window gun blood yeah mother third bill street well relationship.,False
WO000002,AC032,PT0051,TEC056,Scheduled A-Check,Deferred,2023-05-02,,12,13,1.0,No Delay,195.7,826242.4,110962.11,170326.23,DFT-66JC,34,Move by listen meeting manager adult.,True
WO000003,AC027,PT0249,TEC049,Modification SB,Closed,2023-09-08,2023-09-23,9,15,6.0,Manpower Shortage,208.6,527222.72,2089695.91,430628.3,DFT-83GF,53,Four almost visit anyone best put purpose manager run change run Mrs bed.,False
WO000004,AC012,PT0099,TEC057,Component Overhaul,Cancelled,2022-04-26,,25,15,0.0,No Delay,71.8,266797.12,2022891.85,407682.88,DFT-94BF,73,Enter wait ask special tax recognize training experience.,True
WO000005,AC002,PT0124,TEC024,Scheduled C-Check,Closed,2022-04-29,2022-06-17,40,49,9.0,Part AOG,225.7,625868.97,1003557.76,222962.92,DFT-54JG,51,Capital military able house government involve where whether.,False
wo000006,AC004,PT0084,TEC055,Line Maintenance,In Progress,2022-12-30,,4,6,1.5,No Delay,48.8,198209.26,1300713.04,274433.22,DFT-68AC,56,With with feeling fish able baby TV maintain month yes.,True
WO000007,AC009,PT0089,TEC039,Modification SB,Closed,2023-03-30,2023-04-12,9,13,4.0,No Delay,84.3,300047.79,2571273.36,535395.14,DFT-70EI,71,Whatever season only life pattern everyone interview experience rest property personal choice main.,True
WO000008,AC014,PT0239,TEC020,Unscheduled AOG,In Progress,2023-04-04,,3,3,0.0,No Delay,37.7,140066.59,1384139.01,288910.58,DFT-92HD,63,Learn my consumer idea through partner vote rate.,False
WO000009,AC005,PT0173,TEC018,Scheduled A-Check,In Progress,2022-07-29,,12,16,4.0,No Delay,249.6,1014953.9,2811671.02,609876.97,DFT-50JA,60,Meet natural speak put reflect one control wide.,False
WO000010,AC026,PT0164,TEC044,Unscheduled AOG,Deferred,2023-07-22,,3,3,0.0,No Delay,18.8,60097.82,1209107.37,134126.39,DFT-40IH,28,Eye knowledge hour religious he sometimes buy result.,True
