aircraft_id,tail_number,msn,aircraft_type,airline,mro_base,manufacture_year,total_flight_hours,total_cycles,last_c_check_date,engine_health_score,airframe_condition
AC001,VT-WV64,MSN-46049,Boeing 737-800,PacificJet,Delhi MRO Hub,2008,34256,16815,29-Jan-24,83,Excellent
AC002,VT-HR36,MSN-45247,Boeing 737-800,AeroNova,Chennai Base,2009,71237,25230,04-Jan-24,76.4,Poor
AC003,VT-XJ64,MSN-40463,Boeing 787-9,SkyWing Airlines,Delhi MRO Hub,2012,60392,25391,21-02-2024,63.6,Excellent
AC004,VT-JB53,MSN-47335,Airbus A320neo,PacificJet,Chennai Base,2021,10695,3517,23-01-2023,71.4,FAIR
AC005,VT-LJ02,MSN-42601,Boeing 787-9,PacificJet,Mumbai Hangar,2022,14116,7516,24-10-2022,93.8,Poor
AC006,VT-LS23,MSN-40659,Airbus A320neo,PacificJet,Delhi MRO Hub,2015,53520,22263,20-Dec-23,83.8,Good
AC007,VT-VD60,MSN-40708,Boeing 787-9,AeroNova,Chennai Base,2019,65589,26824,18-Oct-23,68.6,Fair
AC008,VT-VC50,MSN-50673,Boeing 737-800,SkyWing Airlines,Hyderabad Tech Centre,2011,57581,25533,04-Aug-23,68.3,Poor
AC009,VT-CE47,MSN-39363,Airbus A321ceo,TransAtlantic Air,Chennai Base,2022,39718,19494,06-07-2023,76.7,good
AC010,VT-IS04,MSN-39065,Airbus A321ceo,AeroNova,Mumbai Hangar,2013,71784,27201,31-05-2024,84.5,FAIR
AC011,VT-WG39,MSN-55216,Airbus A321ceo,SkyWing Airlines,Delhi MRO Hub,2017,55019,19558,15-Sep-22,86.5,Excellent
AC012,VT-AJ96,MSN-52293,Boeing 787-9,PacificJet,Hyderabad Tech Centre,2020,19621,8534,04-Jan-22,97.9,Good
AC013,VT-EF98,MSN-49558,Boeing 787-9,SkyWing Airlines,Chennai Base,2022,71540,25232,20-02-2024,97.2,good
AC014,VT-NT60,MSN-62021,Boeing 737-800,PacificJet,Mumbai Hangar,2017,7552,3794,01-05-2024,62.3,good
